Sample ID,HHID,Block,Village,Cvillage,Location,Date,Sample source,Csamplesource,Omit,Dilution,Coliforms_CFU,Ecoli_CFU,CFU_100mL,Log10CFU,Methoderror,,,,
1,KDH1,Kushalgarh,Devdasath,2,3,23/09/2019,Soil kitchen,9,0,200,12,5,1000,3.00,0,,,,
2,KDH1,Kushalgarh,Devdasath,2,3,23/09/2019,Soil courtyard (seen child seating there),9,1,200,2,5,1000,3.00,0,Legend1,,,
3,KDH1,Kushalgarh,Devdasath,2,3,23/09/2019,Mother's hands,8,0,4,2,4,16,1.20,0,0,Colony count,,
4,KDH1,Kushalgarh,Devdasath,2,3,23/09/2019,Child's hands,7,0,4,500+,1,4,0.60,0,1,"Less than 1 seen in the plaque, too diluted",,
5,KDH1,Kushalgarh,Devdasath,2,3,23/09/2019,Stored water,2,0,10,285,3,30,1.48,0,2,"Less than 10 seen in the plaque, no diluted sample",,
6,KDH1,Kushalgarh,Devdasath,2,3,23/09/2019,Hand pump water,1,0,10,23,0,0,0.00,1,3,"More than 300, too undiluted",,
7,GGH1,Ghatol ,Garnawat,1,3,24/09/2019,Soil indoor living area,9,0,200,500+,52,10400,4.02,0,4,faulty or too dirty to count plaque,,
8,GGH1,Ghatol ,Garnawat,1,3,24/09/2019,Soil courtyard (seen child),9,1,1000,18,89,89000,4.95,0,Coded sample source,,,
9,GGH1,Ghatol ,Garnawat,1,3,24/09/2019,Mother's hands (after rinse),8,0,1,tmtc,500+,300,2.48,3,1,handpump,,
10,GGH1,Ghatol ,Garnawat,1,3,24/09/2019,Child's hands,7,0,1,tmtc,500+,300,2.48,3,2,stored water from HP,,
11,GGH1,Ghatol ,Garnawat,1,3,24/09/2019,Stored water,2,0,10,tmtc,183,1830,3.26,0,3,stored water from well,,
12,GGH1,Ghatol ,Garnawat,1,3,24/09/2019,HP water,1,0,10,19,3,30,1.48,0,4,stored water from borewell,,
13,GGH2,Ghatol ,Garnawat,1,3,25/09/2019,Soil indoor kitchen,9,1,200,0,8,1600,3.20,0,5,well,,
14,GGH2,Ghatol ,Garnawat,1,3,25/09/2019,Soil courtyard (seen child),9,0,200,387,87,17400,4.24,0,6,borewell/RO,,
15,GGH2,Ghatol ,Garnawat,1,3,25/09/2019,Mother's hands,8,0,1,2,300+,300,2.48,3,7,child's hands,,
16,GGH2,Ghatol ,Garnawat,1,3,25/09/2019,Child's hands,7,0,1,8,300+,300,2.48,3,8,caregiver's hands,,
17,GGH2,Ghatol ,Garnawat,1,3,25/09/2019,Stored water,2,0,10,420,3,30,1.48,0,9,soils,,
18,GGH2,Ghatol ,Garnawat,1,3,25/09/2019,HP water,1,0,10,tmtc,11,110,2.04,0,10,nala,,
19,KDH2,Kushalgarh,DevdaSath,2,3,23/09/2019,Hand pump water,1,0,10,23,0,0,0.00,1,11,improved floor swab,,
20,KDH2,Kushalgarh,DevdaSath,2,3,26/09/2019,Stored water,2,0,10,2,67,670,2.83,0,12,pond,,
21,KDH2,Kushalgarh,DevdaSath,2,3,26/09/2019,Soil indoor,9,1,200,0,300+,60000,4.78,3,13,RO red,,
22,KDH2,Kushalgarh,DevdaSath,2,3,26/09/2019,soil outdoor,9,0,200,481,18,3600,3.56,0,Coded village,,,
23,KDH2,Kushalgarh,DevdaSath,2,3,26/09/2019,childs hands,7,0,10,9,106,1060,3.03,0,1,Garnawat,,
24,KDH2,Kushalgarh,DevdaSath,2,3,26/09/2019,grandmothers hands,8,0,10,tmtc,0,0,0.00,0,2,DevdaSath,,
25,KDH3,Kushalgarh,DevdaSath,2,3,26/09/2019,Stored water,2,0,10,500+,50,500,2.70,0,3,Udpura,,
26,KDH3,Kushalgarh,DevdaSath,2,3,26/09/2019,hand pump,1,0,10,41,9,90,1.95,0,4,Bansri,,
27,KDH3,Kushalgarh,DevdaSath,2,3,26/09/2019,soil indoor,9,1,200,10,300+,60000,4.78,3,5,thikariya chandrawat,,
28,KDH3,Kushalgarh,DevdaSath,2,3,26/09/2019,soil outdoor,9,0,200,56,300+,60000,4.78,3,6,palakpara,,
29,KDH3,Kushalgarh,DevdaSath,2,3,26/09/2019,childs hands,7,0,1,0,100,1000,3.00,0,7,kakanwari,,
30,KDH3,Kushalgarh,DevdaSath,2,3,26/09/2019,grandfathers hands,8,0,1,500+,300+,300,2.48,3,8,kargachiya,,
31,GGH3,Ghatol,Garnawat,1,3,27/09/2019,Stored water,2,0,1,300+,0,0,0.00,0,9,jharkaniya,,
32,GGH3,Ghatol,Garnawat,1,3,27/09/2019,hand pump,1,0,1,300+,0,0,0.00,0,,,,
33,GGH3,Ghatol,Garnawat,1,3,27/09/2019,soil indoor,9,0,2000,500+,16,32000,4.51,0,Methodological error,,,
